,time,open,high,low,close,tick_volume,spread,real_volume,EMA34,EMA55,EMA84,converged,signal,signal_price
40,2022-09-26 20:00:00,3657.35,3668.49,3656.78,3666.09,1707,75,0,3761.1127707322644,3792.047317335561,3814.5205739605817,True,,
41,2022-09-27 00:00:00,3666.2,3686.5,3665.57,3681.52,7200,83,0,3756.5646124047066,3788.099913145005,3811.3911486909205,True,,
42,2022-09-27 04:00:00,3681.36,3711.52,3677.55,3706.52,6997,83,0,3753.704920267295,3785.1863448183976,3808.9235922511343,True,,
43,2022-09-27 08:00:00,3706.4,3710.79,3681.82,3706.4,9334,74,0,3751.0017819663067,3782.372546789169,3806.5112724334604,True,,
44,2022-09-27 12:00:00,3706.33,3718.53,3654.11,3654.61,15766,77,0,3745.4936801396607,3777.809598689556,3802.937124846791,True,,
45,2022-09-27 16:00:00,3654.15,3659.39,3622.35,3645.72,14109,78,0,3739.792326988823,3773.0921130220718,3799.2378983798076,True,,
46,2022-09-27 20:00:00,3649.84,3658.85,3648.35,3649.93,1647,79,0,3734.6573368751756,3768.6934661284267,3795.7247713591064,True,,
47,2022-09-28 00:00:00,3650.21,3661.87,3610.31,3625.89,9516,83,0,3728.442060482308,3763.5933423381257,3791.7286590918334,True,,
48,2022-09-28 04:00:00,3625.91,3640.86,3610.59,3630.62,9935,83,0,3722.8522284547475,3758.8442943974783,3787.9378671132017,True,,
49,2022-09-28 08:00:00,3630.87,3652.37,3601.25,3626.46,16089,72,0,3717.344101114476,3754.116283883283,3784.1383878870083,True,,
50,2022-09-28 12:00:00,3626.24,3699.1,3625.91,3698.03,18501,79,0,3716.2404381936485,3752.1132023160226,3782.1123081720198,True,,
51,2022-09-28 16:00:00,3698.27,3738.61,3696.22,3722.85,11152,76,0,3716.618127439726,3751.0680879475935,3780.717900920913,True,,
52,2022-09-28 20:00:00,3721.79,3721.94,3710.56,3714.89,1649,71,0,3716.519377300313,3749.7760133780366,3779.1690091345386,True,,
53,2022-09-29 00:00:00,3715.4,3722.8,3705.9,3716.91,6789,81,0,3716.541698597438,3748.602227185964,3777.7040912725497,True,,
54,2022-09-29 04:00:00,3717.25,3722.84,3664.75,3672.9,9144,82,0,3714.047887249013,3745.898576215037,3775.238112654372,True,,
