time,open,high,low,close,tick_volume,spread,real_volume,volume
2022-09-16 16:00:00,3859.96,3878.93,3837.55,3878.28,10285,79,0,10285
2022-09-18 20:00:00,3872.15,3882.63,3871.35,3878.62,1579,90,0,1579
2022-09-19 00:00:00,3878.63,3884.13,3859.6,3866.91,4554,84,0,4554
2022-09-19 04:00:00,3866.97,3869.91,3845.95,3846.4,5436,87,0,5436
2022-09-19 08:00:00,3846.68,3854.45,3831.29,3836.6,7000,74,0,7000
2022-09-19 12:00:00,3836.98,3888.61,3836.33,3862.17,11351,76,0,11351
2022-09-19 16:00:00,3861.77,3902.91,3855.71,3902.64,8996,79,0,8996
2022-09-19 20:00:00,3910.77,3916.32,3908.59,3916.32,1100,74,0,1100
2022-09-20 00:00:00,3916.08,3919.27,3904.54,3911.3,4131,82,0,4131
2022-09-20 04:00:00,3911.31,3921.18,3898.01,3900.24,4770,82,0,4770
2022-09-20 08:00:00,3900.31,3901.57,3880.33,3883.83,6632,73,0,6632
2022-09-20 12:00:00,3884.01,3885.57,3844.33,3874.08,11321,79,0,11321
2022-09-20 16:00:00,3874.51,3878.27,3828.61,3855.26,9184,79,0,9184
2022-09-20 20:00:00,3859.76,3862.72,3855.5,3860.75,924,91,0,924
2022-09-21 00:00:00,3860.67,3865.99,3856.05,3864.54,4344,81,0,4344
2022-09-21 04:00:00,3864.74,3868.2,3840.03,3857.02,7302,85,0,7302
2022-09-21 08:00:00,3857.24,3874.57,3854.34,3871.66,6369,72,0,6369
2022-09-21 12:00:00,3871.76,3889.75,3869.58,3877.62,8972,75,0,8972
2022-09-21 16:00:00,3877.81,3910.02,3796.56,3796.56,18121,74,0,18121
2022-09-21 20:00:00,3782.81,3782.83,3765.86,3767.39,1943,79,0,1943
2022-09-22 00:00:00,3767.12,3773.57,3752.63,3768.65,6805,83,0,6805
2022-09-22 04:00:00,3768.71,3799.8,3762.86,3798.08,7455,83,0,7455
2022-09-22 08:00:00,3797.99,3818.66,3777.43,3793.66,11100,74,0,11100
2022-09-22 12:00:00,3794.06,3807.49,3749.45,3759.45,15587,78,0,15587
2022-09-22 16:00:00,3759.2,3790.34,3752.22,3765.58,12045,78,0,12045
2022-09-22 20:00:00,3764.3,3765.79,3757.79,3765.33,1324,78,0,1324
2022-09-23 00:00:00,3765.06,3769.21,3750.6,3752.08,5132,82,0,5132
2022-09-23 04:00:00,3751.85,3758.64,3737.08,3742.82,7150,84,0,7150
2022-09-23 08:00:00,3743.06,3747.59,3702.96,3710.61,10319,70,0,10319
2022-09-23 12:00:00,3710.4,3725.41,3676.4,3681.97,14125,74,0,14125
2022-09-23 16:00:00,3681.72,3693.8,3646.21,3688.77,12393,77,0,12393
2022-09-25 20:00:00,3697.78,3698.55,3682.25,3688.11,2620,77,0,2620
2022-09-26 00:00:00,3687.79,3695.69,3666.3,3675.59,8944,83,0,8944
2022-09-26 04:00:00,3675.44,3704.43,3659.29,3685.36,9590,85,0,9590
2022-09-26 08:00:00,3685.78,3697.07,3658.34,3672.33,11484,73,0,11484
2022-09-26 12:00:00,3672.53,3716.25,3663.91,3682.8,15863,77,0,15863
2022-09-26 16:00:00,3682.99,3683.33,3644.36,3660.05,14445,78,0,14445
2022-09-26 20:00:00,3657.35,3668.49,3656.78,3666.09,1707,75,0,1707
2022-09-27 00:00:00,3666.2,3686.5,3665.57,3681.52,7200,83,0,7200
2022-09-27 04:00:00,3681.36,3711.52,3677.55,3706.52,6997,83,0,6997
2022-09-27 08:00:00,3706.4,3710.79,3681.82,3706.4,9334,74,0,9334
2022-09-27 12:00:00,3706.33,3718.53,3654.11,3654.61,15766,77,0,15766
2022-09-27 16:00:00,3654.15,3659.39,3622.35,3645.72,14109,78,0,14109
2022-09-27 20:00:00,3649.84,3658.85,3648.35,3649.93,1647,79,0,1647
2022-09-28 00:00:00,3650.21,3661.87,3610.31,3625.89,9516,83,0,9516
2022-09-28 04:00:00,3625.91,3640.86,3610.59,3630.62,9935,83,0,9935
