time,open,high,low,close,tick_volume,spread,real_volume,volume
2022-09-16 14:00:00,3842.55,3875.88,3842.55,3852.02,4707,85,0,4707
2022-09-16 15:00:00,3852.44,3863.43,3845.28,3859.54,3391,84,0,3391
2022-09-16 16:00:00,3859.96,3860.45,3837.55,3851.56,2407,79,0,2407
2022-09-16 17:00:00,3851.74,3854.95,3841.06,3844.29,2098,79,0,2098
2022-09-16 18:00:00,3844.48,3868.9,3843.29,3865.45,2386,82,0,2386
2022-09-16 19:00:00,3865.01,3878.93,3858.25,3878.28,3394,87,0,3394
2022-09-18 22:00:00,3872.15,3879.9,3871.35,3878.64,548,90,0,548
2022-09-18 23:00:00,3878.21,3882.63,3876.65,3878.62,1031,92,0,1031
2022-09-19 00:00:00,3878.63,3884.13,3877.99,3881.24,1162,92,0,1162
2022-09-19 01:00:00,3881.16,3883.66,3876.44,3881.43,1242,87,0,1242
2022-09-19 02:00:00,3881.39,3881.69,3859.6,3866.93,1367,84,0,1367
2022-09-19 03:00:00,3866.54,3868.93,3863.2,3866.91,783,85,0,783
2022-09-19 04:00:00,3866.97,3868.65,3864.17,3867.67,659,88,0,659
2022-09-19 05:00:00,3867.77,3869.91,3860.33,3860.38,935,87,0,935
2022-09-19 06:00:00,3859.97,3860.75,3851.14,3859.39,1578,90,0,1578
2022-09-19 07:00:00,3859.49,3859.49,3845.95,3846.4,2264,90,0,2264
2022-09-19 08:00:00,3846.68,3854.45,3840.78,3841.72,1817,75,0,1817
2022-09-19 09:00:00,3841.95,3846.47,3835.22,3839.44,1896,75,0,1896
2022-09-19 10:00:00,3839.24,3842.73,3831.29,3842.51,1595,75,0,1595
2022-09-19 11:00:00,3842.62,3847.22,3836.25,3836.6,1692,74,0,1692
2022-09-19 12:00:00,3836.98,3852.2,3836.33,3847.72,2105,76,0,2105
2022-09-19 13:00:00,3847.94,3871.66,3838.51,3865.42,2959,79,0,2959
2022-09-19 14:00:00,3865.66,3888.61,3857.25,3879.15,3505,82,0,3505
2022-09-19 15:00:00,3879.4,3887.86,3858.99,3862.17,2782,82,0,2782
2022-09-19 16:00:00,3861.77,3880.42,3855.71,3878.48,2468,79,0,2468
2022-09-19 17:00:00,3878.66,3879.9,3867.24,3871.41,1824,80,0,1824
2022-09-19 18:00:00,3871.66,3876.39,3863.99,3875.89,2050,84,0,2050
2022-09-19 19:00:00,3876.14,3902.91,3875.96,3902.64,2654,82,0,2654
2022-09-19 22:00:00,3910.77,3911.51,3909.24,3909.48,236,88,0,236
2022-09-19 23:00:00,3909.31,3916.32,3908.59,3916.32,864,74,0,864
2022-09-20 00:00:00,3916.08,3919.27,3908.56,3910.76,1217,83,0,1217
2022-09-20 01:00:00,3910.56,3910.77,3904.54,3908.54,1296,83,0,1296
2022-09-20 02:00:00,3908.51,3910.54,3906.58,3909.89,984,82,0,984
2022-09-20 03:00:00,3910.0,3911.8,3908.55,3911.3,634,82,0,634
2022-09-20 04:00:00,3911.31,3912.55,3910.34,3911.16,432,82,0,432
2022-09-20 05:00:00,3911.1,3914.95,3910.06,3913.45,679,82,0,679
2022-09-20 06:00:00,3913.53,3913.79,3907.47,3910.27,1263,86,0,1263
2022-09-20 07:00:00,3909.85,3921.18,3898.01,3900.24,2396,88,0,2396
2022-09-20 08:00:00,3900.31,3901.57,3891.59,3896.59,1626,75,0,1626
2022-09-20 09:00:00,3896.4,3897.53,3882.59,3886.58,1711,74,0,1711
2022-09-20 10:00:00,3886.29,3888.03,3880.33,3887.6,1639,73,0,1639
2022-09-20 11:00:00,3887.58,3891.8,3883.83,3883.83,1656,73,0,1656
2022-09-20 12:00:00,3884.01,3885.57,3871.33,3876.05,2252,79,0,2252
2022-09-20 13:00:00,3875.93,3879.03,3850.84,3855.75,3003,80,0,3003
2022-09-20 14:00:00,3854.89,3864.48,3844.33,3863.77,3525,82,0,3525
2022-09-20 15:00:00,3863.33,3875.51,3858.33,3874.08,2541,79,0,2541
2022-09-20 16:00:00,3874.51,3878.27,3855.35,3859.03,1904,79,0,1904
2022-09-20 17:00:00,3859.27,3860.27,3828.61,3830.77,2145,79,0,2145
2022-09-20 18:00:00,3830.34,3853.46,3830.34,3850.46,2333,81,0,2333
2022-09-20 19:00:00,3850.05,3871.97,3845.58,3855.26,2802,84,0,2802
2022-09-20 22:00:00,3859.76,3861.75,3859.01,3861.64,254,93,0,254
2022-09-20 23:00:00,3861.72,3862.72,3855.5,3860.75,670,91,0,670
2022-09-21 00:00:00,3860.67,3865.99,3858.62,3863.44,1374,90,0,1374
2022-09-21 01:00:00,3863.08,3864.41,3856.05,3857.8,1332,81,0,1332
2022-09-21 02:00:00,3857.75,3865.21,3857.1,3863.8,994,82,0,994
2022-09-21 03:00:00,3863.79,3864.89,3860.8,3864.54,644,83,0,644
2022-09-21 04:00:00,3864.74,3864.77,3860.2,3862.29,531,85,0,531
2022-09-21 05:00:00,3862.51,3868.2,3854.0,3856.69,1160,85,0,1160
2022-09-21 06:00:00,3856.83,3864.8,3845.47,3849.36,2866,91,0,2866
2022-09-21 07:00:00,3849.69,3863.52,3840.03,3857.02,2745,88,0,2745
2022-09-21 08:00:00,3857.24,3864.24,3854.34,3861.1,1956,74,0,1956
2022-09-21 09:00:00,3861.31,3870.78,3857.09,3868.93,1449,72,0,1449
2022-09-21 10:00:00,3868.85,3870.07,3859.11,3866.33,1419,74,0,1419
2022-09-21 11:00:00,3866.43,3874.57,3863.34,3871.66,1545,74,0,1545
2022-09-21 12:00:00,3871.76,3881.54,3869.58,3878.06,1744,77,0,1744
2022-09-21 13:00:00,3878.2,3886.22,3871.34,3879.61,2564,80,0,2564
2022-09-21 14:00:00,3880.0,3889.75,3873.1,3877.17,2702,81,0,2702
2022-09-21 15:00:00,3877.28,3880.78,3871.35,3877.62,1962,75,0,1962
2022-09-21 16:00:00,3877.81,3885.68,3875.38,3876.31,1564,74,0,1564
2022-09-21 17:00:00,3876.12,3889.18,3873.12,3886.61,1333,77,0,1333
2022-09-21 18:00:00,3887.04,3910.02,3818.89,3892.0,8791,94,0,8791
2022-09-21 19:00:00,3892.4,3897.64,3796.56,3796.56,6433,90,0,6433
2022-09-21 22:00:00,3782.81,3782.83,3768.61,3770.11,641,91,0,641
2022-09-21 23:00:00,3769.89,3772.36,3765.86,3767.39,1302,79,0,1302
2022-09-22 00:00:00,3767.12,3771.78,3757.63,3759.6,1803,87,0,1803
2022-09-22 01:00:00,3759.61,3763.99,3752.63,3763.89,1990,83,0,1990
2022-09-22 02:00:00,3763.96,3773.57,3761.16,3770.11,1734,83,0,1734
2022-09-22 03:00:00,3769.88,3771.65,3766.19,3768.65,1278,83,0,1278
2022-09-22 04:00:00,3768.71,3774.14,3768.07,3770.64,1040,83,0,1040
2022-09-22 05:00:00,3770.4,3778.27,3769.67,3772.15,1373,84,0,1373
2022-09-22 06:00:00,3772.13,3779.34,3762.86,3767.84,2135,86,0,2135
2022-09-22 07:00:00,3767.2,3799.8,3763.35,3798.08,2907,87,0,2907
2022-09-22 08:00:00,3797.99,3818.66,3796.67,3807.74,3158,74,0,3158
2022-09-22 09:00:00,3807.67,3808.62,3788.69,3793.43,2626,76,0,2626
2022-09-22 10:00:00,3793.2,3801.42,3787.68,3799.15,2067,74,0,2067
2022-09-22 11:00:00,3798.76,3801.15,3777.43,3793.66,3249,76,0,3249
2022-09-22 12:00:00,3794.06,3807.49,3786.27,3799.69,3169,78,0,3169
2022-09-22 13:00:00,3799.43,3800.08,3759.43,3764.41,4477,81,0,4477
2022-09-22 14:00:00,3763.5,3781.08,3754.7,3755.71,4820,80,0,4820
2022-09-22 15:00:00,3755.7,3768.85,3749.45,3759.45,3121,79,0,3121
2022-09-22 16:00:00,3759.2,3774.73,3756.69,3766.57,2982,80,0,2982
2022-09-22 17:00:00,3766.88,3772.89,3754.47,3769.57,2471,78,0,2471
2022-09-22 18:00:00,3769.18,3771.6,3752.22,3769.16,2847,78,0,2847
2022-09-22 19:00:00,3769.6,3790.34,3762.94,3765.58,3745,82,0,3745
2022-09-22 22:00:00,3764.3,3765.02,3757.79,3761.29,468,95,0,468
2022-09-22 23:00:00,3761.37,3765.79,3760.04,3765.33,856,78,0,856
2022-09-23 00:00:00,3765.06,3769.21,3763.06,3764.81,1253,91,0,1253
2022-09-23 01:00:00,3764.58,3765.8,3759.85,3765.09,1449,83,0,1449
2022-09-23 02:00:00,3765.3,3765.3,3750.87,3755.11,1393,84,0,1393
2022-09-23 03:00:00,3755.19,3758.33,3750.6,3752.08,1037,82,0,1037
2022-09-23 04:00:00,3751.85,3753.08,3742.51,3745.47,1104,86,0,1104
2022-09-23 05:00:00,3745.45,3756.36,3745.42,3752.09,1579,84,0,1579
2022-09-23 06:00:00,3751.91,3758.64,3748.47,3749.65,1745,87,0,1745
2022-09-23 07:00:00,3750.02,3750.26,3737.08,3742.82,2722,89,0,2722
2022-09-23 08:00:00,3743.06,3747.59,3733.39,3733.66,2041,72,0,2041
2022-09-23 09:00:00,3733.64,3734.9,3718.15,3728.19,2630,70,0,2630
2022-09-23 10:00:00,3728.14,3728.38,3704.15,3705.4,2752,73,0,2752
2022-09-23 11:00:00,3704.99,3712.39,3702.96,3710.61,2896,71,0,2896
2022-09-23 12:00:00,3710.4,3714.47,3701.51,3705.96,2755,74,0,2755
2022-09-23 13:00:00,3705.8,3725.41,3691.44,3692.37,4152,81,0,4152
2022-09-23 14:00:00,3691.75,3702.08,3687.44,3688.89,4009,80,0,4009
2022-09-23 15:00:00,3688.46,3702.24,3676.4,3681.97,3209,78,0,3209
2022-09-23 16:00:00,3681.72,3682.89,3661.96,3680.36,2637,77,0,2637
2022-09-23 17:00:00,3680.18,3685.36,3668.46,3675.37,2565,79,0,2565
2022-09-23 18:00:00,3675.35,3680.09,3646.21,3648.14,3100,81,0,3100
